station,name,date,tmax,tmin
USW00023234,San Francisco Downtown,2025-04-03,18.4,13.2
USW00023234,San Francisco Downtown,2025-04-04,14.1,9.1
USW00023234,San Francisco Downtown,2025-04-05,16.3,9.5
USW00023234,San Francisco Downtown,2025-04-06,14.7,9.3
USW00023234,San Francisco Downtown,2025-04-07,17.9,10.0
USW00023234,San Francisco Downtown,2025-04-08,17.4,9.5
USW00023234,San Francisco Downtown,2025-04-09,17.5,9.7
USW00023234,San Francisco Downtown,2025-04-10,19.9,12.4
USW00023234,San Francisco Downtown,2025-04-11,16.4,11.9
USW00023234,San Francisco Downtown,2025-04-12,14.7,10.4
USW00023234,San Francisco Downtown,2025-04-13,17.9,10.1
USW00023234,San Francisco Downtown,2025-04-14,17.3,10.6
USW00023234,San Francisco Downtown,2025-04-15,16.9,11.6
USW00023234,San Francisco Downtown,2025-04-16,16.9,10.3
USW00023234,San Francisco Downtown,2025-04-17,18.4,11.1
USW00023234,San Francisco Downtown,2025-04-18,16.2,10.3
USW00023234,San Francisco Downtown,2025-04-19,15.5,11.0
USW00023234,San Francisco Downtown,2025-04-20,18.3,11.7
USW00023234,San Francisco Downtown,2025-04-21,16.6,11.5
USW00023234,San Francisco Downtown,2025-04-22,17.3,9.5
USW00023234,San Francisco Downtown,2025-04-23,16.3,11.5
USW00023234,San Francisco Downtown,2025-04-24,18.1,10.6
USW00023234,San Francisco Downtown,2025-04-25,15.8,10.9
USW00023234,San Francisco Downtown,2025-04-26,17.4,9.9
USW00023234,San Francisco Downtown,2025-04-27,16.2,9.9
USW00023234,San Francisco Downtown,2025-04-28,17.1,11.8
USW00023234,San Francisco Downtown,2025-04-29,18.7,12.1
USW00023234,San Francisco Downtown,2025-04-30,17.0,9.6
USW00023234,San Francisco Downtown,2025-05-01,14.0,9.4
USW00023234,San Francisco Downtown,2025-05-02,17.4,11.2
USW00023234,San Francisco Downtown,2025-05-03,15.3,9.8
USW00023234,San Francisco Downtown,2025-05-04,17.2,10.8
USW00023234,San Francisco Downtown,2025-05-05,19.7,11.8
USW00023234,San Francisco Downtown,2025-05-06,17.2,9.9
USW00023234,San Francisco Downtown,2025-05-07,15.1,11.0
USW00023234,San Francisco Downtown,2025-05-08,16.5,12.2
USW00023234,San Francisco Downtown,2025-05-09,16.3,10.1
USW00023234,San Francisco Downtown,2025-05-10,18.9,11.7
USW00023234,San Francisco Downtown,2025-05-11,15.9,11.4
USW00023234,San Francisco Downtown,2025-05-12,15.7,10.3
USW00023234,San Francisco Downtown,2025-05-13,17.9,12.3
USW00023234,San Francisco Downtown,2025-05-14,14.8,9.7
USW00023234,San Francisco Downtown,2025-05-15,16.9,9.1
USW00023234,San Francisco Downtown,2025-05-16,17.2,11.3
USW00023234,San Francisco Downtown,2025-05-17,17.0,12.1
USW00023234,San Francisco Downtown,2025-05-18,17.5,13.1
USW00023234,San Francisco Downtown,2025-05-19,14.5,10.1
USW00023234,San Francisco Downtown,2025-05-20,17.6,11.6
USW00023234,San Francisco Downtown,2025-05-21,18.6,13.1
USW00023234,San Francisco Downtown,2025-05-22,14.9,9.4
USW00023234,San Francisco Downtown,2025-05-23,16.7,12.4
USW00023234,San Francisco Downtown,2025-05-24,17.6,10.3
USW00023234,San Francisco Downtown,2025-05-25,19.0,11.3
USW00023234,San Francisco Downtown,2025-05-26,18.9,13.2
USW00023234,San Francisco Downtown,2025-05-27,19.1,12.7
USW00023234,San Francisco Downtown,2025-05-28,19.9,12.8
USW00023234,San Francisco Downtown,2025-05-29,15.2,10.6
USW00023234,San Francisco Downtown,2025-05-30,17.6,11.3
USW00023234,San Francisco Downtown,2025-05-31,17.3,10.2
USW00023234,San Francisco Downtown,2025-06-01,16.1,10.1
USW00023234,San Francisco Downtown,2025-06-02,15.1,10.1
USW00023234,San Francisco Downtown,2025-06-03,14.7,9.7
USW00023234,San Francisco Downtown,2025-06-04,20.0,12.4
USW00023234,San Francisco Downtown,2025-06-05,17.8,11.0
USW00023234,San Francisco Downtown,2025-06-06,17.9,12.1
USW00023234,San Francisco Downtown,2025-06-07,17.0,11.3
USW00023234,San Francisco Downtown,2025-06-08,19.1,12.3
